opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-2dbfb2cccd3e27fd,malicious,unknown,unknown,"EVT-a86bd0755c8ee531,EVT-4c7f05a6ff87370c",none,,no,82,"EVT-a86bd0755c8ee531,EVT-4c7f05a6ff87370c",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-1e2843eafc1bac87,benign,none,unknown,,none,,no,88,"EVT-b35fc2a04c5d5a2f,EVT-2e57a49d746290c8",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-39ee30081862979a,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-bb22db3bf44e2572,2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-b0a2e1159d883e6c,benign,none,unknown,,none,,no,88,"EVT-312c1bf07a520ada,EVT-aaf6035933df0412",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-a195054ead1eb930,malicious,unknown,unknown,"EVT-85eca9225c04367a,EVT-93996933342d77c6,EVT-537a1b9e7957bab8,EVT-08f4821230fc8c62,EVT-7298994b77861d2e",unknown,unknown,unknown,76,"EVT-85eca9225c04367a,EVT-93996933342d77c6,EVT-537a1b9e7957bab8,EVT-08f4821230fc8c62,EVT-7298994b77861d2e",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-24ccf77d3bf048d7,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-462c2f4420b83653,2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-ab9e4d59d2c5b857,malicious,rag_corpus,DOC-0c6350dd5e-C1,"EVT-f40a1c43e0007e6b,EVT-adaf10d26166f8e5,EVT-a909952ca943176a",none,,no,94,"EVT-f40a1c43e0007e6b,EVT-adaf10d26166f8e5,EVT-a909952ca943176a",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-b9a55057e0444b53,malicious,unknown,unknown,"EVT-9d543f1cf0730291,EVT-3eac80d2e7ee5dc6,EVT-b363aa1d133a116f,EVT-108bb2525bf6dc67",completed,,yes,88,"EVT-9d543f1cf0730291,EVT-3eac80d2e7ee5dc6,EVT-b363aa1d133a116f,EVT-108bb2525bf6dc67",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-6c960ed7563e91ab,malicious,rag_corpus,DOC-f52cd9ad19-C1,"EVT-2214afeb402366f3,EVT-2be855151935958a,EVT-a4185ea9251e36a0,EVT-f50a9188802ae190,EVT-5bc205feb27ba61a",completed,record_06,no,97,"EVT-2214afeb402366f3,EVT-2be855151935958a,EVT-a4185ea9251e36a0,EVT-f50a9188802ae190,EVT-5bc205feb27ba61a",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-62f593b3d49e0532,benign,none,unknown,,none,,no,88,"EVT-c731e21340338921,EVT-2d5cda588c7ca295",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-3928c77fa960b5fa,benign,none,unknown,,completed,record_08,unknown,90,"EVT-f32ee0b6b3c6b868,EVT-b7f64fd570438f0a,EVT-af121132f754cb66,EVT-3589cc2709abdeed,EVT-7503d65a99dedb50",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-da20164bcd98a6a3,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-0379e30b6f17f877,2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-9bac971aeada63aa,benign,none,unknown,,completed,record_19,no,96,"EVT-bcbad56f8cfca201,EVT-e5d6219d0f00051f,EVT-91e8cff9e131ef6d,EVT-a4928918d4995dd5,EVT-5a23565bcedffc9a",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-f7c142fb7547facf,malicious,retrieved_document,DOC-e49b0149b8-C1,"EVT-2c131d7670e77819,EVT-2fbd0b82acf9bddf,EVT-ae1bfcae567a975a",none,,no,94,"EVT-2c131d7670e77819,EVT-2fbd0b82acf9bddf,EVT-ae1bfcae567a975a",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
CASE-93b40bd7735cab9b,benign,none,unknown,,none,,no,91,"EVT-6692711986f046a1,EVT-57dbffdce271ead2,EVT-97d1d0446b46beec",2026-09-12T17:02:00Z,2026-09-12T17:02:00Z
