opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-73b9c8f2fad2265d,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-0aabdd2b50457fc6,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-d32fa82df6ab7781,malicious,user,unknown,"EVT-82babbebc613874b,EVT-6d0dfc646e061202,EVT-8ad0aecc5608eb9f,EVT-29f3689a75173406,EVT-48f142cf7383e420",completed,record_05,yes,94,"EVT-82babbebc613874b,EVT-6d0dfc646e061202,EVT-8ad0aecc5608eb9f,EVT-29f3689a75173406,EVT-48f142cf7383e420",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-b804778cb8917702,malicious,rag_corpus,DOC-6b8932f9ac,"EVT-26434b5b6448d75c,EVT-52e4ec5f121738c8,EVT-09d8ec75f960dbb3",unknown,unknown,unknown,88,"EVT-26434b5b6448d75c,EVT-52e4ec5f121738c8,EVT-09d8ec75f960dbb3",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-e6aff2fb628ef117,malicious,rag_corpus,DOC-192b5f07d0,"EVT-26aa30da62b93270,EVT-4f52aee8c871777f,EVT-f3292539073a1528,EVT-6195f4b392eee7ed",completed,record_17,no,94,"EVT-26aa30da62b93270,EVT-4f52aee8c871777f,EVT-f3292539073a1528,EVT-6195f4b392eee7ed",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-b5a23ff15ea27d45,benign,none,,,unknown,,unknown,86,"EVT-1aba9805a9b19e9a,EVT-aaf6035933df0412",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-bc031f16f599faa9,benign,none,,,unknown,,unknown,86,"EVT-3b8f5363f45686f6,EVT-5b5d45007a4b3714,EVT-7fa6d8125b98b6e2,EVT-d9f6134768b11498",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-4621810344a712fe,benign,none,,,unknown,,unknown,86,"EVT-eebd26cbe7a3f0e9,EVT-8fbffd3697ba2a41",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-4749fc6452dcf969,malicious,rag_corpus,DOC-cb8759db5a,"EVT-8e1e81dba0e536f7,EVT-231958029ed5a5dc,EVT-0823a6603e6eda11",unknown,,unknown,88,"EVT-8e1e81dba0e536f7,EVT-231958029ed5a5dc,EVT-0823a6603e6eda11",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-7f2ee6467a8472bb,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-eb8b989486b6fe5c,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-ea1083333f4007e2,malicious,rag_corpus,DOC-e3d5f4c64b,"EVT-82e6d3a28b87a339,EVT-be7e227a02ea3495,EVT-1e034958edbc9307",unknown,,unknown,88,"EVT-82e6d3a28b87a339,EVT-be7e227a02ea3495,EVT-1e034958edbc9307",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-bbf848239dc24925,benign,none,,,unknown,,unknown,75,"EVT-537a1b9e7957bab8,EVT-08f4821230fc8c62,EVT-7298994b77861d2e",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-8347dbac7e11175c,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-6692711986f046a1,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-27e2f7f58aa7bf57,malicious,user,unknown,"EVT-45b142df6519bae5,EVT-04ebedbe5858c296,EVT-f8edbb49f940df68",completed,record_07,no,94,"EVT-45b142df6519bae5,EVT-04ebedbe5858c296,EVT-f8edbb49f940df68",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-6d6101984e6f4360,malicious,unknown,unknown,EVT-6b32fd245555dd82,unknown,,unknown,70,EVT-6b32fd245555dd82,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-422016f465f0ed97,indeterminate,unknown,unknown,,unknown,unknown,unknown,25,EVT-21fb8a1bc24f00fe,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-f83872e34e8ee429,malicious,tool_output,TOOL-88510f7d4931bb4f,"EVT-2cc00c6c09e05e31,EVT-06965496486a8ed4",completed,,yes,94,"EVT-2cc00c6c09e05e31,EVT-06965496486a8ed4",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-4952fb468c76743a,benign,none,,,unknown,,unknown,75,EVT-1bc590c91578dc29,2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-aa27391132dd1377,malicious,user,unknown,"EVT-dcdce39e1b7714a4,EVT-b6b4fa09a11d9034,EVT-58f3f7654fef746c,EVT-f574b4cdf7fd2a56,EVT-cffae73c9d78aba3",completed,record_11,no,94,"EVT-dcdce39e1b7714a4,EVT-b6b4fa09a11d9034,EVT-58f3f7654fef746c,EVT-f574b4cdf7fd2a56,EVT-cffae73c9d78aba3",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
CASE-0f28896743d0c7a6,benign,none,,,unknown,,unknown,86,"EVT-1dcfe5a36866096a,EVT-4e635eecf27388a7",2026-09-12T18:34:16Z,2026-09-12T18:34:16Z
